,url,title,rating,numOfRatings,popularity,numOfAwards,parentalRating,yearMade,genre,language,length,gross
0,https://www.imdb.com/title/tt0455944/,The Equalizer,7.2,351000,401,"[1,9]",R,2014,"['Action', 'Crime', 'Thriller']","['English', 'Russian', 'Spanish']",132,192330738
1,https://www.imdb.com/title/tt0172495/,Gladiator,8.5,1400000,174,"[59, 106]",R,2000,"['Action', 'Adventure', 'Drama']",['English'],155,465380802
2,https://www.imdb.com/title/tt6977338/,Good Boys,6.7,69000,1729,"[2, 9]",R,2019,"['Adventure', 'Comedy']",['English'],90,111037232
3,https://www.imdb.com/title/tt0068646/,The Godfather,9.2,1700000,100,"[31, 30]",R,1972,"['Crime', 'Drama']","['English', 'Italian', 'Latin']",175,246120986
4,https://www.imdb.com/title/tt0120338/,Titanic,7.8,1100000,151,"[125, 83]",PG-13,1997,"['Drama', 'Romance']","['English', 'Swedish', 'Italian', 'French']",194,2201647264
5,https://www.imdb.com/title/tt0241527/,Harry Potter and the Sorcerer's Stone,7.6,701000,69,"[17, 68]",PG,2001,"['Adventure', 'Family', 'Fantasy']","['English', 'Latin']",152,1009472460
6,https://www.imdb.com/title/tt0108052/,Schindler's List,8.9,1300000,246,"[91, 49]",R,1993,"['Biography', 'Drama', 'History']","['English', 'Hebrew', 'German', 'Polish', 'Latin']",195,322161245
7,https://www.imdb.com/title/tt0081505/,The Shining,8.4,945000,209,"[4, 8]",R,1980,"['Drama', 'Horror']",['English'],146,46998772
8,https://www.imdb.com/title/tt0055614/,West Side Story,7.5,102000,1232,"[28, 10]",Other,1961,"['Crime', 'Drama', 'Musical']","['English', 'Spanish']",153,44063287
9,https://www.imdb.com/title/tt0166924/,Mulholland Drive,7.9,338000,425,"[49, 61]",R,2001,"['Drama', 'Mystery', 'Thriller']","['English', 'Spanish', 'French']",147,20268910
10,https://www.imdb.com/title/tt0098635/,When Harry Met Sally...,7.6,206000,1514,"[4, 17]",R,1989,"['Comedy', 'Drama', 'Romance']",['English'],95,93232006
11,https://www.imdb.com/title/tt0062622/,2001: A Space Odyssey,8.3,631000,569,"[16, 12]",G,1968,"['Adventure', 'Sci-Fi']","['English', 'Russian', 'French']",149,65802496
12,https://www.imdb.com/title/tt0120815/,Saving Private Ryan,8.6,1300000,384,"[79, 75]",R,1998,"['Drama', 'War']","['English', 'French', 'German', 'Czech']",169,482349603
13,https://imdb.com/title/tt3766354,The Equalizer 2,6.7,146000,1002,"[1,4]",R,2018,"['Action', 'Crime', 'Thriller']","['English', 'French', 'Turkish', 'Hebrew', 'Arabic', 'Spanish']",121,190400157
14,https://imdb.com/title/tt1037705,The Book of Eli,6.9,304000,1320,"[3, 16]",R,2010,"['Action', 'Adventure', 'Drama']",['English'],118,157107755
15,https://imdb.com/title/tt0139654,Training Day,7.7,410000,550,"[18, 23]",R,2001,"['Crime', 'Drama', 'Thriller']","['English', 'Russian', 'Spanish', 'Korean', 'Greek']",122,104876233
16,https://imdb.com/title/tt1907668,Flight,7.3,338000,1176,"[15, 45]",R,2012,"['Drama', 'Thriller']",['English'],138,161772375
17,https://imdb.com/title/tt1272878,2 Guns,6.7,204000,2436,"[3, 0]",R,2013,"['Action', 'Comedy', 'Crime']","['English', 'Spanish']",109,131940411
18,https://imdb.com/title/tt0453467,Deja Vu,7,301000,1674,"[1,6]",PG-13,2006,"['Action', 'Crime', 'Sci-Fi']",['English'],126,180557550
19,https://imdb.com/title/tt0765429,American Gangster,7.8,407000,716,"[12, 38]",R,2007,"['Biography', 'Crime', 'Drama']","['English', 'Thai', 'Spanish']",157,269755430
20,https://imdb.com/title/tt0328107,Man on Fire,7.7,345000,79,"[1,7]",R,2004,"['Action', 'Crime', 'Drama']","['English', 'Spanish']",146,130834852
21,https://imdb.com/title/tt1599348,Safe House,6.7,215000,254,"[1,7]",R,2012,"['Action', 'Thriller']","['English', 'Afrikaans']",115,208076205
22,https://imdb.com/title/tt0454848,Inside Man,7.6,355000,1141,"[5, 12]",R,2006,"['Crime', 'Drama', 'Mystery']","['English', 'Albanian', 'Spanish', 'Polish']",129,186003591
23,https://imdb.com/title/tt1111422,The Taking of Pelham 123,6.4,192000,3785,"[1,7]",R,2009,"['Action', 'Crime', 'Thriller']","['English', 'Ukrainian']",106,150166126
24,https://imdb.com/title/tt0120815,Saving Private Ryan,8.6,1300000,384,"[79, 75]",R,1998,"['Drama', 'War']","['English', 'French', 'German', 'Czech']",169,482349603
25,https://imdb.com/title/tt0120689,The Green Mile,8.6,1200000,263,"[15, 37]",R,1999,"['Crime', 'Drama', 'Fantasy']","['English', 'French']",189,286801374
26,https://imdb.com/title/tt0112573,Braveheart,8.3,990000,580,"[33, 34]",R,1995,"['Biography', 'Drama', 'History']","['English', 'French', 'Latin', 'Gaelic', 'Italian']",178,213216216
27,https://imdb.com/title/tt0109830,Forrest Gump,8.8,1900000,173,"[50, 75]",PG-13,1994,"['Drama', 'Romance']",['English'],142,678226133
28,https://imdb.com/title/tt0114369,Se7en,8.6,1500000,236,"[29, 43]",R,1995,"['Crime', 'Drama', 'Mystery']",['English'],127,327333559
29,https://imdb.com/title/tt0407887,The Departed,8.5,1200000,217,"[97, 141]",R,2006,"['Crime', 'Drama', 'Thriller']","['English', 'Cantonese']",151,291465373
30,https://imdb.com/title/tt0167260,The Lord of the Rings: The Return of the King,8.9,1700000,323,"[209, 124]",PG-13,2003,"['Action', 'Adventure', 'Drama']","['English', 'Quenya', 'Old English', 'Sindarin']",201,1146030912
31,https://imdb.com/title/tt0102926,The Silence of the Lambs,8.6,1300000,219,"[69, 51]",R,1991,"['Crime', 'Drama', 'Thriller']","['English', 'Latin']",118,272742922
32,https://imdb.com/title/tt0137523,Fight Club,8.8,1900000,197,"[11, 38]",R,1999,['Drama'],['English'],139,101209702
33,https://imdb.com/title/tt1375666,Inception,8.8,2200000,119,"[157, 220]",PG-13,2010,"['Action', 'Adventure', 'Sci-Fi']","['English', 'Japanese', 'French']",148,836836967
34,https://imdb.com/title/tt0108052,Schindler's List,8.9,1300000,246,"[91, 49]",R,1993,"['Biography', 'Drama', 'History']","['English', 'Hebrew', 'German', 'Polish', 'Latin']",195,322161245
35,https://imdb.com/title/tt0110912,Pulp Fiction,8.9,1900000,123,"[70, 75]",R,1994,"['Crime', 'Drama']","['English', 'Spanish', 'French']",154,213928762
36,https://imdb.com/title/tt1489887,Booksmart,7.2,107000,698,"[24, 59]",R,2019,['Comedy'],"['English', 'Mandarin', 'Spanish']",102,24959607
